Year,Scenario,Distribution,Median Efficiency,Min Efficiency,Max Efficiency,,,,,,,,,
2020,A,Normal,21.5,21,22,,,,,,,,,
2020,B,Uniform,21.5,21,22,,,,,,,,,
2020,C,Uniform,19,16.5,21.5,,,,,,,,,
2020,D,Uniform,19,16.5,21.5,,,,,,,,,
2021,A,Normal,21.5,21,22,,,,,,,,,
2021,B,Uniform,21.5,21,22,,,,,,,,,
2021,C,Uniform,19,16.5,21.5,,,,,,,,,
2021,D,Uniform,19,16.5,21.5,,,,,,,,,
2022,A,Normal,21.5,21,22,,,,,,,,,
2022,B,Uniform,21.5,21,22,,,,,,,,,
2022,C,Uniform,19,16.5,21.5,,,,,,,,,
2022,D,Uniform,19,16.5,21.5,,,,,,,,,
2023,A,Normal,22,21.5,22.5,,,,,,,,,
2023,B,Uniform,22,21.5,22.5,,,,,,,,,
2023,C,Uniform,19.5,17,22,,,,,,,,,
2023,D,Uniform,19.5,17,22,,,,,,,,,
2024,A,Normal,22.5,22,23,,,,,,,,,
2024,B,Uniform,22.5,22,23,,,,,,,,,
2024,C,Uniform,20,17.5,22.5,,,,,,,,,
2024,D,Uniform,20,17.5,22.5,,,,,,,,,
2025,A,Normal,23,22.5,23.5,,,,,,,,,
2025,B,Uniform,23,22.5,23.5,,,,,,,,,
2025,C,Uniform,20.5,18,23,,,,,,,,,
2025,D,Uniform,20.5,18,23,,,,,,,,,
